Tanggal,Klik,Tayangan,RKT
2022-05-09,0,0,0%
2022-05-08,0,0,0%
2022-05-07,0,0,0%
2022-05-06,0,0,0%
2022-05-05,2,11,18.18%
2022-05-04,0,0,0%
2022-05-03,0,0,0%
2022-05-02,1,6,16.67%
2022-05-01,1,17,5.88%
2022-04-30,4,33,12.12%
2022-04-29,4,46,8.7%
2022-04-28,0,0,0%
2022-04-27,0,0,0%
2022-04-26,4,13,30.77%
2022-04-25,23,87,26.44%
2022-04-24,1,25,4%
2022-04-23,5,25,20%
2022-04-22,4,19,21.05%
2022-04-21,6,29,20.69%
2022-04-20,2,155,1.29%
2022-04-19,0,0,0%
2022-04-18,0,0,0%
2022-04-17,0,0,0%
2022-04-16,0,0,0%
2022-04-15,0,0,0%
2022-04-14,0,0,0%
2022-04-13,0,0,0%
2022-04-12,0,0,0%
2022-04-11,0,0,0%
2022-04-10,0,0,0%
2022-04-09,0,0,0%
2022-04-08,0,0,0%
2022-04-07,0,0,0%
2022-04-06,0,0,0%
2022-04-05,0,0,0%
2022-04-04,0,0,0%
2022-04-03,0,0,0%
2022-04-02,9,22,40.91%
2022-04-01,0,0,0%
2022-03-31,0,0,0%
2022-03-30,0,0,0%
2022-03-29,7,12,58.33%
2022-03-28,0,0,0%
2022-03-27,0,0,0%
2022-03-26,0,0,0%
2022-03-25,1,3,33.33%
2022-03-24,0,0,0%
2022-03-23,4,19,21.05%
2022-03-22,0,0,0%
2022-03-21,0,0,0%
2022-03-20,0,0,0%
2022-03-19,0,0,0%
2022-03-18,0,0,0%
2022-03-17,8,23,34.78%
2022-03-16,0,0,0%
2022-03-15,0,0,0%
2022-03-14,0,0,0%
2022-03-13,0,0,0%
2022-03-12,1,2,50%
2022-03-11,0,0,0%
2022-03-10,0,0,0%
2022-03-09,0,0,0%
2022-03-08,0,0,0%
2022-03-07,3,32,9.38%
2022-03-06,0,0,0%
2022-03-05,0,2,0%
2022-03-04,0,0,0%
2022-03-03,4,36,11.11%
2022-03-02,23,59,38.98%
2022-03-01,0,0,0%
2022-02-28,9,25,36%
2022-02-27,9,58,15.52%
2022-02-26,5,15,33.33%
2022-02-25,23,153,15.03%
2022-02-24,0,0,0%
2022-02-23,0,0,0%
2022-02-22,0,0,0%
2022-02-21,0,0,0%
2022-02-20,0,0,0%
2022-02-19,0,0,0%
2022-02-18,0,0,0%
2022-02-17,0,0,0%
2022-02-16,0,0,0%
2022-02-15,0,0,0%
2022-02-14,0,0,0%
2022-02-13,0,0,0%
2022-02-12,0,0,0%
2022-02-11,0,0,0%
2022-02-10,0,0,0%
